"dt","meet_me_yes"
"2012-12-21",0
"2013-06-26",1045750
"2012-11-02",0
"2013-02-06",0
"2013-06-19",1026651
"2013-08-05",3278068
"2013-06-02",1018072
"2013-01-30",0
"2013-04-04",1041757
"2012-10-26",0
"2013-01-21",0
"2013-06-03",1017609
"2013-04-24",972826
"2013-01-18",0
"2013-05-21",952796
"2013-01-23",0
"2012-11-20",0
"2013-06-05",930258
"2013-05-23",943673
"2012-11-17",0
"2013-02-21",0
