"dt","requests","requesters"
"2013-01-01",819419,80974
"2013-01-02",845770,85079
"2013-01-03",803766,84477
"2013-01-04",762031,81898
"2013-01-05",800897,82884
"2013-01-06",874404,88253
"2013-01-07",881083,87186
"2013-01-08",874191,88009
"2013-01-09",855337,87632
"2013-01-10",837846,86397
"2013-01-11",789477,83634
"2013-01-12",816499,85542
"2013-01-13",909493,91587
