"first_launch","fictitious_user_id"
"2013-04-22 06:31:57.132972-07","A8EB7637108CDC4E"
"2013-04-22 08:01:16.48706-07","D61DF8E9669EE28E"
"2013-04-22 10:26:13.036135-07","62ED3C55DC7E814A"
"2013-04-22 10:38:48.79956-07","06ECB67BA1CE94B3"
"2013-04-22 11:05:02.609328-07","D2530DE79587A983"
"2013-04-22 11:41:32.925978-07","D5824900BF1CE5CD"
"2013-04-22 11:56:06.860994-07","A52B11E00E712500"
"2013-04-22 13:18:45.143617-07","34F3E7FCE265415C"
"2013-04-22 13:37:25.821314-07","948412394D526FB9"
"2013-04-22 13:57:53.482911-07","0FDCE08C59E79FF6"
"2013-04-22 14:17:09.567907-07","9E38C137943200CD"
"2013-04-22 14:24:17.676409-07","DCE3E5D685FC9E48"
"2013-04-22 15:12:24.437546-07","8142A1C6B899D776"
"2013-04-22 15:23:53.210064-07","BAB18D9FF6EE8BFC"
"2013-04-22 15:24:55.13918-07","CE15205963518612"
"2013-04-22 15:41:27.293842-07","5BE5BED1C1273977"
"2013-04-22 16:50:23.408972-07","C611F1C996E1AF85"
"2013-04-22 17:52:25.733679-07","D831CCED6B605953"
"2013-04-22 18:23:40.039597-07","EC6D9A794743DB16"
"2013-04-22 18:50:55.79634-07","E6EB35ED416A81ED"
"2013-04-22 19:46:37.103364-07","145B21D9C187C501"
"2013-04-22 20:20:07.088447-07","56AF6E2024104584"
"2013-04-22 20:30:51.604704-07","1AD20E28EE1C0357"
"2013-04-22 21:02:20.783687-07","3B76BAFBAC15E906"
"2013-04-22 21:39:15.220315-07","042D173596606B87"
"2013-04-22 21:50:26.597408-07","85E4188025912113"
"2013-04-22 22:15:50.854013-07","DAE5AAF863CFBD4D"
"2013-04-22 22:58:11.322135-07","77F2FE40416E1AC0"
"2013-04-22 23:19:12.198721-07","9DE3CAA1039E8452"
"2013-04-23 00:07:39.450825-07","5C537ACF963240D1"
"2013-04-23 00:43:41.911617-07","9F3469608B5DD83E"
"2013-04-23 01:49:22.982046-07","889BBD31393E84A2"
"2013-04-23 01:55:29.123277-07","1E4F40B86E2EE9FB"
"2013-04-23 01:57:12.097161-07","7E2ACFCA3CA75C19"
"2013-04-23 02:32:44.500362-07","82C0C7EB24E35F36"
"2013-04-23 02:34:17.308011-07","14682DE361DB08EB"
"2013-04-23 04:40:37.018696-07","8691802308E9D65C"
"2013-04-23 05:22:47.828313-07","E2035C36E465055D"
"2013-04-23 09:34:17.717226-07","972EA4307226E288"
"2013-04-23 09:51:47.505455-07","94ADAB10D65D4C5D"
"2013-04-23 11:55:41.642524-07","35553895429B0453"
"2013-04-23 12:21:40.630523-07","3D7608A787F67A00"
"2013-04-23 13:53:18.149207-07","0719593AF3E93613"
"2013-04-24 03:11:40.062275-07","9A025B87289C4726"
"2013-04-24 14:54:12.375577-07","B7747A35FC3EAA19"
"2013-04-24 21:11:24.130952-07","BDD0179E9D49254B"
"2013-04-25 03:33:20.872554-07","4AADE43AA2B9F103"
"2013-04-25 04:55:20.569123-07","984A3B2914BC1E42"
"2013-04-25 09:29:09.643688-07","46D7B43844946B6E"
"2013-04-25 12:13:39.295805-07","5BD62023F4B1C66B"
"2013-04-25 20:21:21.933919-07","48A8437A9B1D0551"
"2013-04-26 07:42:10.945649-07","6EF11FEB7D47377C"
"2013-04-26 21:17:48.181833-07","AFA4F08925B00666"
"2013-04-27 16:19:00.810213-07","FFB03A44D56DF5AF"
"2013-04-27 21:47:48.621998-07","D78AC86E82E5BB8B"
"2013-04-27 22:38:20.093109-07","C7BB4921592F97AD"
"2013-04-28 08:50:26.85165-07","D9D2CDEA59A1A3A6"
