"dt","clicks","clickers"
"2013-06-08",9622909,92817
"2013-06-11",9864730,98401
"2013-05-29",10422378,100519
"2013-06-04",9870890,98437
"2013-06-05",9965629,97986
"2013-06-02",10577312,99833
"2013-06-03",10526103,100493
"2013-06-09",10774714,100312
"2013-06-01",9477754,92426
"2013-05-30",10132213,98139
"2013-06-07",9733048,94728
"2013-05-27",10869315,100445
"2013-06-10",10407281,100863
"2013-05-28",10809885,102227
"2013-06-06",9986524,97723
"2013-05-31",9245752,92790
