"dt","pets","petters"
"2013-01-01",510803,34968
"2013-01-02",545952,36889
"2013-01-03",527184,36879
"2013-01-04",511823,35727
"2013-01-05",535497,36130
"2013-01-06",565139,37588
"2013-01-07",533204,37303
"2013-01-08",533002,37226
"2013-01-09",548917,37496
"2013-01-10",525150,36797
"2013-01-11",512336,36189
"2013-01-12",518470,35844
