x,y
1,242227
2,85924
3,51492
4,36741
5,29466
6,26106
7,20614
8,17575
9,15179
10,13097
11,12187
12,11246
13,11165
14,10513
15,9869
16,9286
17,8882
18,8339
19,8505
20,8663
21,8300
22,7916
23,7692
24,7471
25,7146
26,7361
27,7758
28,7672
29,7680
30,7392
31,7212
32,6959
