"dt","pets","petters"
"2013-06-08",343866,28577
"2013-06-11",380323,30359
"2013-06-04",373893,30841
"2013-05-29",394618,31623
"2013-06-05",375737,30854
"2013-06-02",383897,30983
"2013-06-03",385914,31522
"2013-06-09",383735,30425
"2013-06-01",349592,28855
"2013-05-30",384685,31211
"2013-06-12",391926,30734
"2013-06-07",344794,29323
"2013-05-28",399255,32141
"2013-06-10",383529,31122
"2013-06-06",363162,30444
"2013-05-27",405240,31783
"2013-05-31",343905,29581
