"dt","clicks","clickers"
"2013-01-01",10561349,87561
"2013-01-02",11025270,91022
"2013-01-03",10395144,89406
"2013-01-04",10047463,86747
"2013-01-05",10426507,88308
"2013-01-06",11276476,92914
"2013-01-07",11477701,91547
"2013-01-08",11491905,93075
"2013-01-09",11690337,94136
"2013-01-10",11312501,91870
"2013-01-11",10740190,89629
"2013-01-12",11165265,91080
