"dt","requests","requesters"
"2013-01-01",632261,77266
"2013-01-02",670523,81892
"2013-01-03",641685,79906
"2013-01-04",605736,76884
"2013-01-05",628609,78461
"2013-01-06",681937,83265
"2013-01-07",720458,83462
"2013-01-08",696131,83912
"2013-01-09",693485,83790
"2013-01-10",670447,82224
"2013-01-11",631157,79186
"2013-01-12",644806,80129
"2013-01-13",705828,85655
