"user_id","ln_msgs"
5463968480,3
5431445058,2
5449557064,9
5447644643,3
5455967551,226
5439117956,8
6725515891,21
5405089619,292
15417824,108
5393759712,219
5984637182,13
5417433596,1
5459616777,25
5988443335,55
5986656854,2
5967899196,1
5987904206,137
7268811441,120
5965071437,1
13880867,2
5981247275,56
5434662545,2
5971051309,217
5989965592,95
5987595030,136
5457447767,79
5987605316,842
13011665,86
7252695925,533
5964258726,4
5450106388,4
7251625143,74
5462030016,23
5969964845,6
5387495918,14
5454329818,35
5463747096,23
5443276451,82
5989550191,19
5979693278,134
5425490856,5
5435349366,82
5463844163,3
5990310403,18
5799708125,32
5969830228,276
7270767089,1316
5990144092,2
5403695635,76
5461845624,103
5988983417,4
5990119715,60
5991083729,107
7270320311,302
5990819003,193
5455798877,1
5380730064,27
5982652954,44
5982871619,5
5399269942,16
5987770013,72
5984442274,83
5407234688,114
7259136052,450
5988812061,86
5450279646,42
5990290269,180
5398283756,58
5404244818,34
5972934215,130
5443247476,12
5986226632,242
5443213800,212
5990029164,296
5404678166,99
5982458644,129
5446959617,6
5436051981,1
23222017,5
5079361712,8
5979758049,2
5447028512,1
12819805,16
4233109,122
5990974561,91
1215670,82
5990135190,184
5986859854,23
7264569330,1513
4816596,74
7270215345,28
7244604533,6
5457279844,222
5443538895,87
3296526609,12
5973426156,110
5455999564,126
5453891896,8
5448961409,6
5426877513,100
5458635740,50
16278722,19
5990110526,8
5784256365,2
5986677147,75
5973183686,29
5985897894,46
5981150156,1
5981289439,20
5426456662,11
5982037257,163
14053504,9
6744076597,82
5446664235,171
5449343547,15
5981142755,117
5448809238,30
8311039,7
7265103088,15
5461723749,27
5979711678,129
5981383430,89
5407151202,3
6728594742,27
5387652046,8
7270604786,4
5445951251,2
5407678155,5
5990449929,15
5978000857,50
5448086209,3
5970578159,113
5377315390,98
6740092596,1
5984259106,158
5966559529,16
5452825478,66
5989850875,530
5463418047,1
5455654799,2
5967819076,507
5401991527,23
7259553392,802
5463454812,8
5990101346,4
5402326709,6
3872069,112
5454316801,606
5448465548,53
5986517708,291
7270235191,273
6737457715,92
5432043777,51
5987860194,817
5460483780,129
5989417442,5
5988553874,46
5454010667,2
5982961274,40
5445249029,36
5457948431,73
5969665494,22
7265221044,4
6739831220,133
5463513861,8
7270007667,1
5442826265,26
5990011863,114
5461500362,1
5456746817,55
5971008203,33
5990575330,105
8583847,201
5988751645,148
5398342168,100
5982863698,1
7250393207,20
5978542879,2
5417831863,96
5440890360,100
5990319432,6
5394895370,3
5419284377,64
5433823569,350
5984031342,22
5432743550,479
5450555245,36
5975026323,6
5394714243,3
5989793953,1
5438849230,147
5977995171,32
5408193382,2
5443735574,74
5988035347,144
7245581367,1
5984238184,34
5989829273,390
5460755659,12
5406964550,9
5446447257,1
5963878309,14
5446351823,4
5448266733,352
5969966363,43
5418315972,1
5981486102,337
5443404303,30
5458662496,14
5984957406,4
5441134780,145
5464041817,19
5433704664,5
5405876465,10
5413163280,331
5458454754,1
7270970422,29
5401302671,21
11888482,92
5990507205,65
5964444623,131
5980762014,87
5458073405,213
5413658694,2
5455123363,104
5450511388,2
23190902,16
5405646504,330
5984093293,52
5456362926,8
5980987327,20
5971139695,10
5419672653,491
5420647743,68
5991183737,1
5415226101,9
5985308437,70
5984683757,1
5987875534,11
5989618248,100
5979119694,2
5988610348,1048
5443854705,24
5965668458,24
5433860726,139
5405849965,1
5461854359,1
5972472131,78
5461560458,9
6738606068,29
7263096374,83
5980242852,184
5972868473,7
1617703978,30
5990441848,51
5462042984,15
5977558702,6
5990398788,34
5452651706,2487
5989887919,538
6732257201,11
5431819715,217
7249061877,46
5434914819,1
5983009491,130
5972642602,1173
5977425499,3
5463585857,15
5381941614,4
5427438081,22
5454885218,3
16565225,6
5969012958,365
5427707233,29
5406605034,26
5987733163,1
5982421094,49
7266749937,35
5425381710,1
5981939526,61
7270124979,60
5988541869,14
5390427076,63
5971216216,179
5989297279,1
7264300979,89
5970105147,5
5990464797,139
5977177295,2
5456682436,1
7253807989,431
5986709574,60
5990460035,67
5986653178,2
5989327214,56
9362712,1
5990669981,32
5462331969,161
5967378182,42
5456521818,217
5990122040,314
5463800719,48
7269524919,38
5965745390,419
7262163380,3
7249435506,34
5446521822,64
5990344034,195
7262545783,4
5989024830,23
5462595724,50
5989556249,28
5436236734,19
5859388649,148
5462694264,2
5986109586,491
5970374316,1
5965182028,107
5453216523,1
5409899694,5
5399757520,1209
5972598154,2
5986568773,3
5421226303,45
5987940522,125
5989712720,60
5412079721,21
5990421858,83
5455288573,2
15981396,6
6730950517,19
5984376771,14
5967425065,21
5453113369,28
5990813650,181
5446656111,2
5990366414,6
5403727103,2
5986335055,31
5976633351,30
5386649779,196
5989315205,34
5426167504,618
5971394840,1892
5462179579,39
5393479622,99
5985917093,59
5982934213,2
5990459627,12
31898820,2
3208240150,173
5407219968,79
5988812195,1002
5989903042,636
7256592628,8
5966554575,1
5989685454,112
5463451857,162
5450520192,3
5979097636,67
5989822805,26
5399431970,2
5459246989,18
847536041,38
5452900392,3
5391950391,91
7258255220,10
5988158907,190
7271148021,159
12797113,250
5968486477,14
5990195772,13
5387758166,24
7263706807,96
5978932749,767
5457522456,28
5445790233,5
5458625161,80
5424355341,74
5980187801,1
5988816909,1
5395157665,10
5377077423,609
5456169362,11
5970593875,30
7268541938,658
5989632198,389
7270797815,6
5434808254,360
5981205783,34
5973301788,2
5459031761,3
5413362357,1
967152115,8
5439560626,607
5402776717,11
5443644469,29
5426315352,33
5988679811,34
5403896946,2
5439031902,58
7259960887,58
5431469580,27
5990643884,90
5981489670,374
5990193545,89
5442329196,12
5444966226,63
5967613010,25
5457341583,46
5446420739,5
5443355784,13
5989226300,256
32583546,37
5990932415,86
5451568152,22
5402075736,2
5983728137,153
5380063960,1
5965919683,20
5394926313,16
5986681131,4
5462140219,15
5451162280,2
5457105450,7
5390513013,12
5442836238,3
5990341693,1
5974261478,104
5986704426,24
5441993397,432
5989649570,7
5988950932,58
5429269764,5
5966861642,2
5989944042,47
5448827776,2
5439602774,2
5453291933,31
5988948547,2
5981170758,199
5982808069,4
5456505104,2
13891065,131
5454389368,3
5439110017,328
5986340256,145
5450727573,39
5972105344,39
5461186965,18
5459480321,1
5981782201,63
5447708263,52
8245583,14
5989959535,234
5461185802,32
5988381819,31
5987601694,1
5981305578,3
5972140359,3
5967202945,36
37397874,1
5415665958,2
5413632496,130
5965594350,34
5415538499,148
5457856276,90
5980995491,5
5453990227,89
5411828413,28
5990087255,3100
5387380056,48
5990024253,124
5988962985,166
5455980126,69
5971227048,18
5404587445,300
5983447896,2
5455505162,2
5437635684,7
7260134325,1572
5987781461,22
7255225969,33
5987004570,4
5969891548,161
5449541076,46
5976707861,16
5970832618,67
5980787799,186
5408562118,17
21829122,23
5392234793,41
5408226730,15
5985499563,1
5440707284,21
5968837672,7
5974111980,6
5435254530,448
5784223935,53
5983060487,386
5970604263,143
5990246548,4
5435461987,11
5990773306,70
3296095761,1
6736247730,11
5973791113,70
5989630467,7
5986485474,7
5966352162,50
5966012132,8
5978892763,44
5426626773,18
5989874913,29
5981967780,18
5982882700,79
5966211722,9
5454633946,6
5989694999,53
5437332606,17
5977237146,213
5985245369,17
7268959093,4
7271060532,1023
5420374103,62
5972969346,47
5974114004,285
5982542857,270
7082528,294
5415849341,4
5982433643,9
5989759213,138
5986265604,242
5986625006,1
29261194,7
5991008721,9
5979892780,91
5414082833,77
7266883825,11
5971885832,1
5969252473,144
5443392459,15
5463700258,2
6739606512,33
5414480618,4
5967394018,96
5965569710,1
13032671,12
5461431808,66
5989012362,175
5453979494,207
5413458201,1
34311522,2
7321324,17
7270810864,6
5972795386,52
5430225065,6
5965851606,18
5988861867,87
7270564340,614
5970105996,68
6744002161,4
5964459691,60
5447605542,117
5458767249,15
5969709377,92
5433546099,1
5982991386,1454
5427079398,34
7257670769,186
5971810243,253
5990239165,565
5984279482,95
5378429360,266
29790870,29
5989516697,537
5409197510,109
6742079863,3
3203607569,5
5990299501,9
5985640595,123
5441849299,383
5989629393,101
5460812556,127
5442520035,23
5988813060,241
5964437880,35
6740418545,4
5982628834,153
31257587,1
5976373925,118
7611186,125
5989251671,212
5445079206,1
5971282275,52
32015344,57
5400067349,3
5454950846,555
7264475510,6
5981679902,60
5458162607,168
5411827080,43
5412254895,5
5446630779,1
5430698982,1
5464164933,3
5990860438,223
5989648905,187
5458653455,65
5990648227,355
5452285396,201
5982069997,27
7261394167,11
7259523316,2
5974604775,98
5458891480,2
7268973365,294
5988270476,170
5979819143,2
5451387795,43
5408776556,137
5966729209,55
5978006105,51
1103734160,337
5449383571,306
5983941801,70
5975477461,2
5419891846,4
7254783925,226
5453893321,226
4488118950,1
5986761828,70
5459551956,27
5989551834,211
5989994248,16
5988982616,4
5990352531,2
5966564834,20
5445804762,2
5450797799,31
5455956335,42
6737988342,4
5462733357,20
5990460964,36
5378869754,344
5985664452,34
5963865929,5
5406939703,16
5988041355,70
5408535247,7
5463163111,21
5450477209,40
5450713876,808
5980036567,15
5460620670,38
5462770170,6
5459919779,9
5415145856,1
5966283631,2
5983605824,2
5989310942,83
5990459948,49
5395650309,10
5990024900,10
5386246560,11
5444954837,14
5450164935,32
5987501210,42
5447760719,9
7246113650,1
5462686881,19
5441810481,28
5451407681,5
5448578762,129
5978981413,189
5410075378,36
5431756360,303
5981051046,3
5971875928,949
36428217,1
5974427974,14
5439389244,8
5438333618,4
5981153614,25
7260902644,5
13138568,4
5970576481,2
5988367766,549
5990659653,6
5463428578,6
5455497747,26
5989557114,11
29819056,10
5409912631,4
5455826437,10
5407402346,5
5988422879,373
7266078193,357
5975581352,381
5988124865,95
5986095188,885
5387092673,71
5980289194,218
5403958962,30
5985546524,58
7259852277,5
5990192248,129
5462011784,9
5985737941,30
5406701123,64
5462340719,353
6739228020,362
5459607266,60
5434650896,100
5989593938,207
5409422758,76
5378919670,2
5458994000,263
5973274723,405
5399562931,88
5964442414,78
5435362264,19
5972136488,103
5425720531,86
5451580972,16
5460995245,1
23085377,30
5968301381,66
5447758549,450
24790494,27
5978795837,7
5450729673,19
5429313767,35
4947949,47
5990246319,153
5970140611,2
5430579528,42
53810926,1
5459743638,11
5413813643,25
5412726383,108
5964456523,655
5990235368,2
5987402881,26
5418374870,2
7270675894,258
5975138635,288
5463530791,5
5989783944,141
18233653,2
5989380365,319
5985713043,125
5462079161,9
5969193814,846
5438343163,1
5968974864,59
5989942241,26
5452754714,157
6739457649,24
5989642404,6
5454504342,181
5416634577,49
5429093468,44
5990025173,190
5451203950,11
5406846819,334
5989671248,13
5462463105,2
5981917260,71
7268402737,29
5984783974,8
5987129866,17
5397442724,4
5444917339,19
5454868099,1075
6496780,65
5419792647,5
5430637546,91
26671690,465
5987684495,50
5415403787,1
5381392294,3
5447841643,1
5975299153,30
5986740822,4
5435782744,1
5971643817,4
5449026766,5
5447747556,26
5436773845,16
6743283314,158
5435037845,95
5462077997,46
7250890868,4
5462490943,121
5453175111,23
5733226,186
5986674688,15
6725998580,21
5964874469,1
5968555914,242
5405870062,18
7270802614,22
5969721818,359
5984583271,622
5982562425,14
5971194842,1
5446557720,43
5435769595,1
5429562054,43
3187696048,216
19375353,36
5981273770,6
5446013197,5
5420345977,3
5988968479,272
5449159008,10
5415206017,8
5453088146,1
5435609483,76
5442576115,13
5982840967,88
5986012288,502
5974510106,504
5974480145,3
5972212561,1
5457448763,95
7268300916,115
7245254769,135
5462755619,96
5460313607,93
5976454248,21
7259789175,1
5987075179,56
5452071642,7
5984021598,68
5415623139,13
5402285106,34
5989600103,13
5968370065,38
5988801961,103
5987648619,26
5986696467,12
5980438252,5
6733810295,46
