"user_id","count"
2232066,20
2299518,18
3658087,2
8655535,3
11053336,13
12920725,5
15438869,8
16645308,4
17724559,20
18037123,20
19114592,10
1017072156,1
1609757935,5
2681200033,3
5387951842,8
5396122087,11
5396500768,18
5397388045,20
5398320365,20
5401673714,14
5401843134,1
5402351248,1
5403555978,26
5403660978,3
5404886508,3
5407510180,4
5407864665,1
5408166065,20
5410124863,19
5418943698,17
5420175277,1
5421332883,20
5422305171,5
5425612400,14
5426830537,10
5426835502,6
5427539145,20
5428072850,1
5428222771,28
5430630106,20
5432249042,15
5433964103,20
5433965337,6
5433977586,13
5434995198,16
5435224510,20
5435555378,4
5436004357,8
5436945265,20
5437709965,14
5441272981,5
5441642828,13
5442185582,20
5442237652,1
5442462064,1
5442956720,11
5444682643,5
5445126341,11
5445240538,11
5445739406,20
5447321291,7
5447693466,1
5448889427,1
5449350504,19
5449548996,7
5450511279,20
5450552939,19
5451438588,19
5451568965,1
5451873122,20
5452049668,20
5452053838,20
5452363463,3
5452693038,18
5453265613,20
5453846437,20
5453850981,20
5453866255,20
5453979986,20
5454015567,3
5454684199,1
5457517534,4
5457609754,1
5457837150,20
5457858901,1
5457932250,7
5458264413,2
5458405013,6
5458676736,4
5458689342,3
5458736667,2
5460127684,20
5460434558,19
5460606017,20
5460944605,1
5461166724,2
5461294316,17
5461650946,20
5461720557,1
5462115648,20
5462232279,3
5462398357,17
5463185928,20
5463188664,3
5463495452,1
5464026880,8
5784174535,19
5784195791,20
5799871835,20
5817729679,12
5918627488,20
5963993737,1
5964034900,1
5964153627,7
5964348668,10
5964441386,14
5964608551,20
5964723432,20
5965328227,1
5965378624,20
5967171398,4
5967240721,3
5967350588,6
5967395022,20
5967697210,10
5968565478,6
5968568614,3
5968590126,11
5968819737,20
5968938939,20
5969125971,20
5969406348,4
5969505498,20
5969833221,1
5970275997,20
5970411492,4
5970624782,20
5970724485,11
5970776583,20
5970937292,2
5971423199,2
5971682029,15
5971859823,10
5972186194,7
5972431214,3
5972447359,7
5972573072,1
5973196543,2
5973606621,5
5974055637,1
5974124207,20
5974271828,19
5974509218,20
5974930127,7
5974976456,1
5975139279,19
5975894269,5
5977312349,20
5977440877,1
5977531168,1
5977611293,8
5978057798,7
5979454715,20
5979483147,20
5979564907,19
5979580024,13
5979818709,2
5980338796,19
5980773127,20
5980809826,1
5981279254,8
5981390746,1
5981670615,1
5981882860,8
5981924295,4
5982742358,20
5982929710,2
5983379006,20
5983423525,20
5983581411,20
5983593362,3
5983827032,7
5984028157,19
5984096877,1
5984418377,2
5984623139,20
5984643737,19
5984674764,23
5984742659,20
5984808875,20
5985598185,20
5985645854,20
5985667694,5
5985794124,2
5986374379,12
5986437407,2
5986671161,4
5987085983,8
5987127489,10
5987203322,19
5987476741,6
5987499022,20
