"dt","msgs","senders"
"2013-01-01",2973038,152055
"2013-01-02",3129146,160425
"2013-01-03",2996359,161130
"2013-01-04",2863089,157785
"2013-01-05",2953641,157826
"2013-01-06",3237632,163617
"2013-01-07",3011829,162836
"2013-01-08",3049064,165502
"2013-01-09",2936702,164708
"2013-01-10",2933514,165273
"2013-01-11",2742217,161790
"2013-01-12",2832418,161694
