"dt","new_friend","friend_request","message","meet_me","chat","pets_old","pets_bought_pet","pets_bought_you","photo_comment","meet_me_yes","on_boarding_onb1","on_boarding_onb2","on_boarding_onb3","inactive_rem1","inactive_rem2"
"2013-07-20",173380,422867,2101766,182545,73590,619571,11815,12558,48357,648112,0,0,0,0,0
"2013-07-21",272971,636133,2970029,294860,96491,863767,14483,15120,76953,1070146,0,0,0,45,0
"2013-07-22",305942,697776,3224286,328512,101659,935952,19914,18291,84769,1172903,0,0,0,45,26
"2013-07-23",311658,722263,3383404,340729,108519,1039062,20733,18155,86562,1263470,1,0,0,61,25
"2013-07-24",319258,747684,3662981,348073,118325,1095498,21821,19545,90290,1333088,2,1,0,56,48
"2013-07-25",313270,745800,3624084,348664,113402,1107653,22432,20893,89973,1361765,2,2,1,57,41
"2013-07-26",290490,716407,3407718,328114,110271,1027393,22616,19583,87100,1243576,0,2,2,50,33
"2013-07-27",295176,725934,3401837,327339,109332,1081119,21726,15688,86851,1293209,0,0,0,49,32
"2013-07-28",335931,788875,3745897,365105,117395,1155668,25952,17603,97873,1399541,3,0,0,54,28
