"dt","new_friend","friend_request","message","meet_me","chat","pets_old","pets_bought_pet","pets_bought_you","photo_comment","meet_me_yes","on_boarding_onb1","on_boarding_onb2","on_boarding_onb3","inactive_rem1","inactive_rem2"
"2013-07-20",9565,21422,110225,10047,3590,23377,758,5973,3033,31076,0,0,0,0,0
"2013-07-21",14545,32561,156831,16247,5086,35704,1183,7980,3721,54247,35,0,0,83,0
"2013-07-22",16216,35663,170043,17684,5449,37123,1296,10179,4351,59632,26,29,0,96,61
"2013-07-23",16395,35807,174812,17427,5743,42545,1364,10601,4869,62683,40,23,28,142,65
"2013-07-24",16790,38050,192981,19068,5933,45518,1568,11377,4955,65026,24,37,22,117,114
"2013-07-25",16508,38369,190974,19476,5665,43669,1552,11989,4791,68846,22,22,36,158,78
"2013-07-26",15385,36172,172334,18031,5970,43608,1508,8431,4480,62841,32,19,20,114,100
"2013-07-27",15788,37528,175793,18087,5837,47301,1309,9764,4635,65056,22,26,19,104,81
"2013-07-28",17583,40878,190097,19787,6193,48480,1125,10994,5087,74692,40,20,25,142,76
