"dt","msgs","senders"
"2013-01-01",2082198,171267
"2013-01-02",2231333,179770
"2013-01-03",2145862,178438
"2013-01-04",2047283,174082
"2013-01-05",2087489,174033
"2013-01-06",2241018,180952
"2013-01-07",2200556,182631
"2013-01-08",2215379,183216
"2013-01-09",2157326,183048
"2013-01-10",2137564,182989
"2013-01-11",2010919,178195
"2013-01-12",2039507,177480
