"dt","avg"
"2013-03-18",15.9364845826596
"2012-10-09",12.8354561026752
"2013-01-23",13.2100570996753
"2012-11-20",14.1638104938199
"2013-05-23",9.75831795756287
"2013-02-21",15.5874481054422
"2012-11-17",13.9359265013959
"2013-05-19",20.7644966693521
"2013-01-16",13.9869141033513
"2013-04-22",18.2524099189969
"2012-11-13",14.0419348776018
"2012-10-20",13.2310847802592
"2013-01-24",12.765672304127
"2013-01-21",14.1279276040991
"2013-01-06",15.1574404041103
"2013-05-09",17.7815619285202
"2013-04-12",17.4509823185928
"2013-03-06",15.0451325129041
"2013-05-14",19.4077977094968
"2013-04-08",17.8699702700913
"2013-02-03",12.2839394348192
"2012-10-30",14.1274819859836
"2012-11-24",14.7567639182749
"2013-02-28",14.7519101575642
"2013-02-05",13.7073600283971
"2012-11-10",13.7011830196104
"2013-01-13",15.1574318026576
"2013-04-19",16.8939379910796
"2013-01-10",14.1584255224047
"2012-10-06",13.1004122942681
"2013-04-16",18.1495158797742
"2013-05-13",18.2551710033967
"2013-02-08",13.3995605507239
"2013-01-25",11.4444868332208
"2012-10-21",7.7157494510987
"2013-02-22",15.0229862573266
"2012-11-18",15.1126551751403
"2013-03-20",15.3662945681775
"2012-10-11",12.9401760529902
"2012-12-14",12.8114112635498
"2013-05-16",18.9647236218114
"2013-03-08",14.5968307850297
"2012-12-21",12.6512735645985
"2012-11-25",15.6902420251432
"2013-03-01",14.3387908892
"2012-12-17",14.3613305581133
"2013-03-23",17.2471139652334
"2012-10-14",15.4562564522298
"2012-12-13",13.7212293988634
"2012-10-10",13.3539772790909
"2013-03-19",15.6228728879205
"2013-02-26",15.4852274843275
"2012-11-22",13.3750326487969
"2013-04-15",18.2360932703403
"2013-01-09",14.2849725660103
"2012-11-06",13.6195339244573
"2013-01-14",14.5444846877179
"2013-05-17",18.6892114217979
"2013-04-20",16.5924580131998
"2012-10-27",13.418537587564
"2013-04-05",17.1209780703215
"2012-12-30",14.9385527592265
"2012-12-12",13.9748298446128
"2013-02-14",12.9603635678698
"2013-03-15",14.7331616590932
"2012-12-09",15.0871603654025
"2013-01-17",13.8209286080858
"2013-04-23",18.114545197873
"2013-01-29",12.4201334415842
"2012-10-25",12.9943897430923
"2012-12-23",14.200274059239
"2013-03-29",16.9690528207185
"2013-01-27",13.4746578214712
"2012-10-23",13.5998370504611
"2013-03-11",15.9034189850681
"2012-12-05",13.9421038208581
"2013-04-21",18.634785586427
"2012-11-12",14.524329958656
"2013-01-15",14.2637191351227
"2013-01-12",13.8446350979563
"2013-05-15",19.115673183278
"2012-10-08",13.4328797119656
"2013-04-18",17.5559653675238
"2013-02-02",12.3025540851069
"2012-11-30",13.1007823048209
"2012-10-22",14.0948865159082
"2013-01-26",12.1098464395306
"2012-11-02",13.5766061438807
"2013-02-06",14.8371884569507
"2012-11-08",13.3727624867674
"2013-04-17",17.7988098333006
"2013-04-09",17.1237360820232
"2013-01-03",14.6128291336353
"2012-10-31",13.3449939491731
"2013-02-01",11.889281238895
"2012-10-28",14.8827909454485
"2013-02-17",14.106350169623
"2013-03-24",18.7567469357963
"2012-10-15",14.8110851340565
"2012-12-18",13.9474637396483
"2013-03-21",15.5351837224623
"2012-12-15",13.3702100727277
"2012-10-12",13.1040082675131
"2013-04-25",17.481851587986
"2012-11-16",13.142597878141
"2013-01-19",13.6000344144599
"2012-12-27",15.2095910695979
"2013-04-29",17.3226312753196
"2013-04-02",17.6789245534221
"2012-11-28",14.1156002735176
"2013-01-31",12.5176830875794
"2013-03-26",17.5971831689974
"2013-05-02",17.6292577144364
"2012-10-17",13.8051294305682
"2012-12-20",13.5203394268304
"2012-11-07",13.7862981779289
"2013-02-11",16.071457825806
"2013-02-10",18.0475037606031
"2012-12-08",14.0816755033912
"2012-11-27",14.5236282255446
"2013-03-03",15.5141957913034
"2012-10-29",14.6009311232401
"2013-01-01",14.7984729412641
"2013-04-07",18.3435712020298
"2012-12-11",14.4836305444631
"2013-03-17",16.492113429028
"2013-01-02",15.0971299083009
"2013-05-05",16.4638262805956
"2012-12-16",15.0670195522633
"2013-03-22",16.3102619707375
"2012-10-13",14.3085748355088
"2013-04-26",17.5577147580915
"2013-02-16",15.4116586771641
"2012-11-04",15.304901105566
"2013-04-13",17.905007101693
"2013-05-20",20.282001297448
"2013-01-07",14.5405806612365
"2013-01-04",14.188714862037
"2013-04-10",17.3182616414212
"2013-05-07",17.8548477518189
"2012-11-01",13.8469123029776
"2013-02-18",15.8007292536133
"2013-04-28",21.3785103711029
"2012-11-14",13.97156673646
"2012-12-02",15.2144491288745
"2013-02-04",12.6818399376111
"2013-04-27",19.4241197457662
"2013-03-31",17.8897507032815
"2012-12-25",13.214999194125
"2012-12-31",12.6550565180947
"2013-05-03",15.4391936581578
"2013-04-06",16.8641553174865
"2013-02-15",15.1539596800378
"2012-11-11",14.906613796556
"2012-12-28",14.4987872022402
"2013-04-03",17.6363285317735
"2013-05-10",17.1695482542135
"2012-10-24",13.4327226105615
"2013-01-28",12.9321619604428
"2013-05-04",18.0984472302164
"2013-02-24",16.4027211615304
"2013-01-22",13.3606837441847
"2012-10-18",13.6205384265648
"2013-03-27",17.4952105759295
"2013-03-10",15.8553629794527
"2012-12-04",14.3966252954622
"2012-12-19",13.9042091474385
"2013-03-25",18.2399789739145
"2012-12-07",13.6047290992784
"2013-03-13",15.5279887961412
"2013-04-04",16.9844521741213
"2013-01-30",12.0578924666037
"2012-10-26",12.591619546262
"2013-03-28",16.8126975298544
"2012-12-22",13.4933093238596
