"fid";"count"
539446429;90
539819006;275
540400953;26
540421533;891
540443268;438
540748493;359
540929993;102
541110429;93
541250585;824
541276060;176
541739127;542
541760081;381
541838456;686
542023392;235
542076066;1382
542262451;1557
542312718;108
542452734;604
542810712;144
543620759;1079
544455876;128
544610606;1107
544872172;776
545959128;1386
547247743;425
547524746;208
547802602;828
548150104;24
548297198;361
548418976;765
548610440;375
549009885;1363
549098270;226
549275218;3060
550028571;393
550485117;335
550560738;283
550775004;627
551189334;206
551287091;505
551411428;1444
551487373;406
552105614;1370
552255693;427
552266816;267
552436954;281
552575360;236
552718655;247
552905190;541
553010291;226
553423938;896
554178528;674
554851797;456
555030280;795
555604850;557
555624494;5
555810588;260
556200076;277
557115363;299
557187187;281
557573772;4637
557575315;776
557745074;339
557820867;266
558020380;393
558145375;167
558476885;804
558525723;3
558602339;348
558633774;156
558685534;1934
559366971;106
559369842;751
559603929;859
559740667;627
560206070;296
560653680;526
560846138;214
560851769;724
560939446;79
560955444;1535
560985939;407
561436997;41
561735083;1558
561752999;180
561814244;393
561854012;142
562022499;170
562102224;121
562225957;81
562269277;1334
562362846;700
562527788;361
562634567;375
563100970;820
563354241;341
563675775;461
563696151;1111
564479858;653
564644965;62
564734628;267
565149242;411
565476817;160
565857784;677
566388715;33
566687798;341
566910916;241
567288778;639
567404411;232
567720654;296
567857608;556
568032606;405
570299257;688
570839030;122
571281192;298
571306936;1030
571448868;1347
571817147;378
572277865;308
572345008;532
572385842;379
572503833;204
572518184;531
572729273;1229
572828091;505
573338626;263
573547723;347
573653098;453
573958528;384
574501246;1841
574593246;255
574746679;817
575157599;513
575599285;760
575831749;952
576271230;141
576807019;242
576811118;118
576866120;896
576968664;588
576977357;32
577026616;117
577551404;562
577625424;201
578003266;403
578418843;242
578469388;119
578470301;185
578817028;343
578827839;938
579008615;476
579150283;443
579437965;155
579771952;302
580001204;154
580416388;185
580602549;181
580732862;306
580747630;336
581714857;560
581719933;438
581808507;349
581876310;266
582006858;1268
582129859;158
582550475;295
582559396;1405
582632283;215
582813719;500
583226755;342
583360303;331
584502844;729
584657703;804
584707756;1201
584739936;499
585599288;340
585727485;222
586157691;86
586221526;106
586806161;476
586838270;326
586942721;851
587318374;97
587447844;1070
587509357;1468
587575680;106
587824185;1374
587841195;122
587943704;267
588260042;587
588326990;130
588548733;782
588560927;547
588667348;392
588984118;241
589205637;1308
589267600;158
589414452;472
589616387;95
589892270;68
590101625;80
590541412;236
590750353;239
590885291;293
590917287;1196
590975238;327
591121227;301
591202053;348
591390077;319
591780474;277
591800050;151
591960301;290
592445288;276
592497395;585
592623090;531
592781491;231
592872289;836
592908035;543
592908986;253
593082818;187
593133472;679
593380724;556
593386863;254
593467097;132
593489348;148
593520598;346
593933472;180
594216889;137
594775231;628
594785018;640
594791415;391
594820968;779
594833909;188
595050354;584
595436741;429
595496188;323
596502247;442
597097483;911
597558044;771
597906132;1488
598049588;188
598127000;344
598522965;564
598723058;46
598759459;625
599223997;597
599526499;197
599565318;227
599580094;526
599972237;801
599973095;190
600051517;640
600367377;227
600797902;417
600933063;294
600964362;623
601562722;530
601936325;345
602160073;4
602341395;872
602752786;465
602888814;1231
603445561;408
603639011;567
603653666;265
603753942;58
603840950;1360
603877397;571
603919984;368
603940992;1206
604257233;151
604318193;291
604709877;518
604716160;1252
604927315;571
605086691;281
605243593;249
605247586;444
605790025;527
605932175;137
606006647;306
606134233;1635
606340205;822
606515720;314
606628151;115
606672178;257
606708827;263
607265669;135
607841631;909
608359055;244
608540026;887
609372570;320
609597215;263
610298039;493
610396010;88
610524637;136
610634185;335
611682883;132
611904687;443
611963231;716
612116078;350
612190386;272
612810050;346
613369005;437
614183085;393
614396342;746
614492863;236
614632035;1161
614692011;380
614949039;372
614994119;645
615019338;425
615125642;315
615228919;103
615458762;228
615761080;446
615937398;126
615969164;1101
616386945;136
616392606;562
616771298;468
617247373;481
617695400;977
617787506;115
617815405;319
618283153;436
618306808;512
618420961;235
618574940;1771
619628252;489
619771760;317
620286198;528
620358412;496
620772792;278
621619068;663
621626631;42
621928314;633
622468286;299
622557479;224
622895760;713
622901072;222
623445388;679
623491818;38
623787677;72
624041362;133
624414442;309
626296441;107
626573132;859
626631061;1978
626859631;245
626956476;410
627057506;263
627237074;3652
627466336;103
627588313;691
627917157;102
628155949;55
628281243;58
628523076;334
628585579;185
628600785;189
628816860;68
629240658;130
629551807;586
629703645;131
629796500;219
630266466;39
630394253;734
630404013;190
630772638;121
630905888;427
631028283;330
631279842;163
631399028;258
631463121;277
631761522;147
632122580;267
633465450;213
633991819;117
634071125;228
634359300;1439
634557632;999
634848727;139
635020779;1067
635103265;379
635245526;300
635261546;311
635382974;240
635792778;605
635935946;269
635949073;866
635972016;410
636053580;98
636129128;422
636225249;284
636306846;419
636505677;206
636945466;68
637042924;420
637197536;376
637317085;1059
637705275;1021
638807924;92
639327708;842
639665624;690
639928716;195
640367075;219
640513153;538
640867785;489
641182162;1178
641286092;492
641396039;705
641641473;182
642297348;631
642429401;4
642946893;262
643157226;217
643392884;418
643708534;167
644500565;103
644535143;1264
644623656;365
644774002;112
644967483;679
645336550;93
645652760;68
646122602;30
647236718;462
647680038;383
647836483;24
647886658;758
647896062;683
648055027;212
648250131;419
648432206;195
649358794;104
649727594;296
649845671;797
650432687;350
650455192;156
650891328;182
650912270;1509
651132348;228
651410386;313
652342783;973
652435997;95
653005463;287
653380477;1383
653680081;606
653929524;388
654360147;562
654537799;68
654696736;256
654755717;240
654756197;547
655219506;934
655220474;621
655780409;875
656870355;120
657169870;211
657195970;499
657321474;175
657404089;46
658063975;404
658121929;184
658892887;70
658924458;1504
659080445;1693
659269621;361
659526934;1238
659737618;425
660854915;964
661055510;663
661557789;253
662144235;1536
662160404;205
662515062;170
662602363;473
662625035;881
662768486;546
663257516;731
663388884;350
663777022;165
664105685;531
664235332;325
664397149;204
665278763;394
665545704;1192
665558904;684
665854982;566
666012183;266
666311091;174
666415613;1227
666611928;605
667177067;158
667366914;2817
667511126;981
667659352;308
667669434;129
667754093;683
667756378;651
667798952;180
667847775;427
667932937;626
668199111;385
668422920;184
668969011;1295
669702161;363
670000029;374
670009093;786
670227552;200
670253273;56
670290726;496
670355678;525
671307672;710
671322022;284
671788509;421
671902359;419
672085429;423
672154605;552
672442993;227
672589656;186
672744642;351
673522785;134
673647424;149
674051415;401
674062103;404
674117512;610
674559552;114
674609239;501
674772791;181
675376928;300
675567888;201
675600648;1078
675760310;261
676044872;540
676059898;521
676562111;90
676580092;484
676612383;291
676759033;313
677459932;428
677751795;633
677853323;120
677873294;467
678798831;310
679124455;999
679246437;208
679831303;240
679911748;160
680113326;227
680386227;776
680628532;270
