"new_friend","frient_request","message","meet_me_match","chat","pets","photo_comment","meet_me_yes","uninstalls"
"new_friend",1,0.853409738532528,0.648674195424286,0.754064265400736,0.335463249736117,0.432081902990831,0.268206020546728,0.182577450587635,0.589705045016022
"frient_request",0.853409738532528,1,0.811522241465647,0.571352095852476,0.565012234952901,0.676730644883385,0.468812204083834,0.354249687298671,0.357657754311066
"message",0.648674195424286,0.811522241465647,1,0.433967528581047,0.59789812782585,0.640325283277632,0.677320211701331,0.614647137176805,0.218266504739829
"meet_me_match",0.754064265400736,0.571352095852476,0.433967528581047,1,-0.078858475182679,0.00276285827289862,0.468924107776472,0.388185458337264,0.792950549967546
"chat",0.335463249736117,0.565012234952901,0.59789812782585,-0.078858475182679,1,0.650704956970083,0.219593054190322,0.071528408028694,-0.133514881122599
"pets",0.432081902990831,0.676730644883385,0.640325283277632,0.00276285827289862,0.650704956970083,1,0.408295670428572,0.311046051177432,-0.101997736613496
"photo_comment",0.268206020546728,0.468812204083834,0.677320211701331,0.468924107776472,0.219593054190322,0.408295670428572,1,0.91554472747339,0.241215809790901
"meet_me_yes",0.182577450587635,0.354249687298671,0.614647137176805,0.388185458337264,0.071528408028694,0.311046051177432,0.91554472747339,1,0.140872856016313
"uninstalls",0.589705045016022,0.357657754311066,0.218266504739829,0.792950549967546,-0.133514881122599,-0.101997736613496,0.241215809790901,0.140872856016313,1
